CLASS,SMALL_OFFICE
HEADER,ENDUSE,DENSITY,DEMAND,ELECTRONIC,MOTORA,MOTORB,MOTORC,MOTORD,IP,IQ,PP,PQ,ZP,ZQ,PF
COMPOSITION,HEATING,0.01,0.1,0,0.3,0,0,0,0,0,0,0,0.7,0,1
COMPOSITION,COOLING,0.98,9.8,0.15,0.7,0,0.15,0,0,0,0,0,0,0,1
COMPOSITION,VENTILATION,0.34,3.4,0,0,1,0,0,0,0,0,0,0,0,1
COMPOSITION,HOTWATER,0.07,0.7,0,0,0,0,0,0,0,0,0,1,0,1
COMPOSITION,COOKING,0.04,0.4,0,0,0,0,0,0,0,0,0,1,0,1
COMPOSITION,REFRIGERATION,0.08,0.8,0,0.85,0,0,0.15,0,0,0,0,0,0,1
COMPOSITION,OUTDOOR_LIGHTS,0,0,0,0,0,0,0,1,0,0,0,0,0,1
COMPOSITION,INDOOR_LIGHTS,1.05,10.5,0,0,0,0,0,1,0,0,0,0,0,1
COMPOSITION,OFFICE_EQUIPMENT,0.49,4.9,1,0,0,0,0,0,0,0,0,0,0,1
COMPOSITION,MISCELLANEOUS,0.24,2.4,0,0,0,0,0,0,0,0,0,1,0,1
COMPOSITION,PROCESS,0.01,0.1,0.3,0,0.2,0.4,0,0,0,0,0,0.1,0,1
COMPOSITION,MOTORS,0.24,2.4,0,0,0,0,1,0,0,0,0,0,0,1
COMPOSITION,COMPRESSORS,0.16,1.6,0,0,0,0,1,0,0,0,0,0,0,1
NORMALIZE,FLOORAREA,165,326,330,219,337,339,267,362,359,286,50,79,62,3180
HEADER,CEUSCODE,HEATING,COOLING,VENTILATION,HOTWATER,COOKING,REFRIGERATION,OUTDOOR_LIGHTS,INDOOR_LIGHTS,OFFICE_EQUIPMENT,MISCELLANEOUS,PROCESS,MOTORS,COMPRESSORS,TOTAL
DATA,1220,4.471391113,24.10376172,32.92333203,10.17934473,0.934869324,22.89530469,79.11875781,130.8726094,57.44766016,20.45586719,0.034816383,5.735304688,1.519379028,391
DATA,1221,2.912458984,16.73516602,24.04260156,9.315666992,0.62692981,22.78326367,83.87348438,95.14932813,54.22065625,17.33923438,0.027779816,5.166235352,1.245416382,333
DATA,1222,3.302681396,13.88333301,20.96133008,9.090911133,0.543622375,22.70438672,82.20301563,72.62121875,52.80558984,16.41451367,0.026263765,4.562552246,1.17904895,300
DATA,1223,3.826794922,12.59264648,20.80142969,9.06472168,0.526308899,22.68433203,82.03489063,59.14916797,52.47730078,16.2543125,0.026093248,4.29487793,1.159285156,285
DATA,1224,4.186011719,10.99559473,19.70804688,9.051708984,0.518931274,22.66622266,82.03489063,50.66951563,52.43636328,16.15922559,0.026093248,4.19932666,1.120912476,274
DATA,1301,15.54212207,4.818942383,27.83442578,8.441338867,0.501352112,22.65503711,77.65330469,46.05935547,51.45322266,16.10149805,0.026093248,3.155392334,1.113939087,275
DATA,1302,17.83227539,5.591953613,32.84248047,8.437111328,0.501339661,22.65566016,77.48844531,45.49826563,51.45307813,16.06105371,0.026093248,3.124916748,1.095013672,283
DATA,1303,18.84436328,5.687511719,31.66523828,8.440727539,0.511317291,22.66214453,75.63232813,45.48049609,51.56726172,16.10222559,0.026093248,3.133658691,1.10395459,281
DATA,1304,34.62787109,4.54200293,40.35807422,8.470239258,0.576978394,22.69927539,73.22050781,46.35414453,52.19327734,16.38818359,0.026093248,3.205735352,1.153085327,304
DATA,1305,38.88742969,5.57767334,41.38951953,8.520073242,0.690790894,22.74613477,71.67814844,50.30041797,52.78261719,16.69924609,0.026248264,5.366901367,1.214590454,316
